4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,8/13/09,"15,436.28"
4-L ENGINEERING COMPANY INC,Service Contracts,8/25/09,"1,752.00"
4-L ENGINEERING COMPANY INC,Service Contracts,8/25/09,710
4-L ENGINEERING COMPANY INC,Service Contracts,9/9/08,272.17
4-L ENGINEERING COMPANY INC,Repairs-Buildings,9/11/08,698.01
4-L ENGINEERING COMPANY INC,Service Contracts,9/23/08,540.39
4-L ENGINEERING COMPANY INC,Service Contracts,9/25/08,710
4-L ENGINEERING COMPANY INC,Service Contracts,9/30/08,831
4-L ENGINEERING COMPANY INC,Service Contracts,10/9/08,831
4-L ENGINEERING COMPANY INC,Service Contracts,10/9/08,710
4-L ENGINEERING COMPANY INC,Service Contracts,10/14/08,"3,344.00"
4-L ENGINEERING COMPANY INC,Service Contracts,10/14/08,"3,344.00"
4-L ENGINEERING COMPANY INC,Service Contracts,10/14/08,413.46
4-L ENGINEERING COMPANY INC,Service Contracts,10/16/08,320
4-L ENGINEERING COMPANY INC,Service Contracts,10/16/08,240
4-L ENGINEERING COMPANY INC,Service Contracts,10/16/08,613
4-L ENGINEERING COMPANY INC,Service Contracts,10/16/08,"2,234.00"
4-L ENGINEERING COMPANY INC,Service Contracts,10/16/08,"2,234.00"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,10/23/08,586
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,11/4/08,"6,249.64"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,11/4/08,517.24
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,11/4/08,85
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,11/4/08,"16,683.20"
4-L ENGINEERING COMPANY INC,Service Contracts,11/6/08,831
4-L ENGINEERING COMPANY INC,Service Contracts,11/6/08,"2,234.00"
4-L ENGINEERING COMPANY INC,Service Contracts,11/6/08,710
4-L ENGINEERING COMPANY INC,Service Contracts,11/6/08,"1,568.00"
